Name,Price
Angelfish,3000
Arapaima,10000
Arowana,10000
Barbel Steed,200
Barred Knifejaw,5000
Bitterling,900
Black Bass,300
Blue Marlin,10000
Bluegill,120
Butterflyfish,1000
Carp,300
Catfish,800
Char,3800
Cherry Salmon,1000
Clownfish,650
Coelacanth,15000
Crawfish,250
Crucian Carp,120
Dab,300
Dace,200
Dorado,15000
Eel,2000
Football Fish,2500
Freshwater Goby,300
Frog,120
Gar,6000
Giant Snakehead,5500
Goldfish,1300
Guppy,1300
Hammerhead Shark,8000
Herabuna,300
Horse Mackerel,150
Jellyfish,100
Killifish,300
King Salmon,1800
Koi,4000
Loach,300
Lobster,2500
Moray Eel,2000
Napoleonfish,10000
Neon Tetra,500
Ocean Sunfish,4000
Octopus,500
Olive Flounder,800
Pale Chub,200
Pike,1800
Piranha,2500
Popeyed Goldfish,1300
Pond Smelt,300
Puffer Fish,240
Rainbow Trout,800
Ray,3000
Red Snapper,3000
Salmon,700
Sea Bass,160
Sea Butterfly,1000
Seahorse,1100
Shark,15000
Squid,400
Stringfish,15000
Surgeonfish,1000
Sweetfish,900
Tuna,7000
Yellow Perch,240
Zebra Turkeyfish,400
